,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
2332,RENUSDT,SFPUSDT,0.0239,-3.6088,-3.367,0.4997,37
2449,TRXUSDT,RPLUSDT,0.0429,-3.3948,-3.367,0.0022,37
828,ENSUSDT,KDAUSDT,0.0001,-5.0675,-3.367,8.778,37
378,BANDUSDT,CKBUSDT,0.0249,-3.5947,-3.367,338.3863,36
2498,YGGUSDT,LITUSDT,0.0374,-3.4467,-3.367,1.8868,36
1129,JOEUSDT,CTKUSDT,0.0,-13.8324,-3.367,0.3101,36
1529,LITUSDT,SFPUSDT,0.0042,-4.1602,-3.367,1.8172,36
428,BLURUSDT,HOOKUSDT,0.0004,-4.7569,-3.367,0.3109,36
1611,LQTYUSDT,ZRXUSDT,0.0009,-4.5846,-3.367,3.0737,36
1164,JOEUSDT,HBARUSDT,0.0,-13.4189,-3.367,1.4233,36
1863,MKRUSDT,DASHUSDT,0.0346,-3.4758,-3.367,9.9543,35
1109,JOEUSDT,BELUSDT,0.0,-13.0743,-3.367,0.6016,35
556,BLZUSDT,RPLUSDT,0.0001,-5.2116,-3.367,0.0022,35
594,BSVUSDT,CTKUSDT,0.0389,-3.4317,-3.367,68.8479,35
792,EDUUSDT,RENUSDT,0.0353,-3.4679,-3.367,1.2547,35
566,BLZUSDT,SXPUSDT,0.0001,-5.0431,-3.367,0.0604,35
979,HIGHUSDT,SUIUSDT,0.0029,-4.2606,-3.367,2.8165,35
615,C98USDT,FETUSDT,0.0046,-4.1343,-3.367,7.3346,34
5,10000LADYSUSDT,ACHUSDT,0.0024,-4.3145,-3.367,0.0215,34
658,COMBOUSDT,PHBUSDT,0.0392,-3.4292,-3.367,1.0281,34
153,ACHUSDT,ICXUSDT,0.0421,-3.4021,-3.367,0.0461,34
700,CTSIUSDT,FLOWUSDT,0.0114,-3.8568,-3.367,0.027,34
1311,KEYUSDT,PHBUSDT,0.0086,-3.9435,-3.367,0.0085,34
791,EDUUSDT,IOSTUSDT,0.0085,-3.9497,-3.367,19.4402,34
425,BLURUSDT,COMPUSDT,0.0055,-4.0776,-3.367,0.0017,34
546,BLZUSDT,NKNUSDT,0.0006,-4.682,-3.367,0.8292,34
1587,LPTUSDT,MANAUSDT,0.0038,-4.1914,-3.367,10.2394,34
202,AGLDUSDT,LINAUSDT,0.03,-3.5279,-3.367,44.7872,34
287,ANTUSDT,ARUSDT,0.0429,-3.3953,-3.367,0.1662,34
246,ALICEUSDT,SOLUSDT,0.0005,-4.7392,-3.367,0.0715,33
1594,LPTUSDT,STORJUSDT,0.0077,-3.9796,-3.367,21.6717,33
2359,RNDRUSDT,YFIUSDT,0.0204,-3.6629,-3.367,0.0001,33
1578,LPTUSDT,GRTUSDT,0.0283,-3.5488,-3.367,68.8578,33
192,AGIXUSDT,MKRUSDT,0.0,-5.3435,-3.367,0.0002,33
1607,LQTYUSDT,SFPUSDT,0.002,-4.3694,-3.367,1.3239,33
959,HFTUSDT,IOSTUSDT,0.0298,-3.5299,-3.367,12.7994,33
1077,JOEUSDT,1000FLOKIUSDT,0.0,-12.9844,-3.367,12.7825,33
745,DGBUSDT,HOTUSDT,0.0125,-3.8271,-3.367,4.9215,33
687,CRVUSDT,NEOUSDT,0.0129,-3.8156,-3.367,0.2093,33
698,CTSIUSDT,DYDXUSDT,0.025,-3.5933,-3.367,0.021,33
383,BATUSDT,COTIUSDT,0.0003,-4.8739,-3.367,3.429,33
706,CTSIUSDT,RENUSDT,0.0116,-3.8511,-3.367,0.4134,33
703,CTSIUSDT,ICXUSDT,0.0437,-3.3876,-3.367,0.5877,33
181,AGIXUSDT,BELUSDT,0.0294,-3.5353,-3.367,0.498,32
85,1000BTTUSDT,AGIXUSDT,0.0212,-3.6511,-3.367,0.0042,32
440,BLURUSDT,SUIUSDT,0.0098,-3.9041,-3.367,0.7438,32
613,C98USDT,CTSIUSDT,0.0167,-3.732,-3.367,9.9093,32
185,AGIXUSDT,ENJUSDT,0.0132,-3.8086,-3.367,0.1458,32
955,HBARUSDT,TWTUSDT,0.0073,-3.9956,-3.367,0.182,32
179,AGIXUSDT,ALICEUSDT,0.0046,-4.1356,-3.367,0.0288,32
1827,MANAUSDT,ONTUSDT,0.0461,-3.3673,-3.367,12.0613,32
2393,SSVUSDT,ZRXUSDT,0.0433,-3.3911,-3.367,53.0196,32
845,EOSUSDT,MATICUSDT,0.0303,-3.5239,-3.367,2.3502,32
2354,RNDRUSDT,MASKUSDT,0.0345,-3.4767,-3.367,0.4367,32
577,BLZUSDT,XLMUSDT,0.0001,-5.1738,-3.367,0.2809,32
2387,SOLUSDT,ILVUSDT,0.0151,-3.7644,-3.367,0.1737,32
869,FLOWUSDT,CEEKUSDT,0.0451,-3.3763,-3.367,54.4349,32
2375,SLPUSDT,BOBAUSDT,0.0164,-3.7369,-3.367,0.0432,32
811,ENJUSDT,FLRUSDT,0.0253,-3.5888,-3.367,96.6378,32
240,ALICEUSDT,ENJUSDT,0.0126,-3.8237,-3.367,4.9393,32
276,ANKRUSDT,MANAUSDT,0.0023,-4.3354,-3.367,0.0284,32
494,BLZUSDT,ETCUSDT,0.0074,-3.9893,-3.367,0.0017,32
244,ALICEUSDT,MKRUSDT,0.0353,-3.4683,-3.367,0.0075,32
813,ENJUSDT,IDUSDT,0.0011,-4.5179,-3.367,5.4585,32
793,EDUUSDT,VETUSDT,0.0197,-3.6752,-3.367,7.8791,32
242,ALICEUSDT,ILVUSDT,0.0273,-3.5613,-3.367,0.0128,32
893,FLRUSDT,IDUSDT,0.0336,-3.4866,-3.367,0.0559,31
2356,RNDRUSDT,SUSHIUSDT,0.0427,-3.3966,-3.367,0.6404,31
168,ADAUSDT,HFTUSDT,0.0085,-3.9471,-3.367,2.9663,31
267,ANKRUSDT,AUDIOUSDT,0.0,-5.7118,-3.367,0.0697,31
1869,MTLUSDT,AGLDUSDT,0.0023,-4.3249,-3.367,2.9241,31
2361,RPLUSDT,XLMUSDT,0.04,-3.4221,-3.367,127.4569,31
138,1INCHUSDT,BSVUSDT,0.0326,-3.4972,-3.367,0.0193,31
2367,SFPUSDT,HOTUSDT,0.0294,-3.5353,-3.367,340.4138,31
1330,LDOUSDT,IOSTUSDT,0.0059,-4.0571,-3.367,47.6989,31
123,1000LUNCUSDT,TRUUSDT,0.028,-3.5533,-3.367,3.7883,31
987,HOTUSDT,ETHWUSDT,0.0,-6.6589,-3.367,0.0006,31
783,DYDXUSDT,IMXUSDT,0.0152,-3.7616,-3.367,3.1826,31
932,GRTUSDT,RNDRUSDT,0.0357,-3.464,-3.367,0.1432,31
211,AKROUSDT,BLZUSDT,0.0029,-4.2665,-3.367,0.0462,31
669,COTIUSDT,RLCUSDT,0.0054,-4.0841,-3.367,0.1832,31
2333,RENUSDT,TRUUSDT,0.002,-4.369,-3.367,10.0865,31
746,DGBUSDT,ICXUSDT,0.0026,-4.2925,-3.367,0.0394,31
731,DASHUSDT,1000BTTUSDT,0.0354,-3.4678,-3.367,103843.6363,31
117,1000LUNCUSDT,HOTUSDT,0.0327,-3.4969,-3.367,64.7718,31
233,ALGOUSDT,BELUSDT,0.0199,-3.6727,-3.367,2.2296,30
1615,LRCUSDT,RENUSDT,0.0246,-3.5993,-3.367,2.7724,30
733,DASHUSDT,HFTUSDT,0.032,-3.504,-3.367,312.5381,30
1576,LPTUSDT,ENJUSDT,0.0043,-4.1555,-3.367,13.2854,30
2308,PHBUSDT,RADUSDT,0.0393,-3.428,-3.367,0.4401,30
1831,MANAUSDT,SXPUSDT,0.0287,-3.5442,-3.367,1.9398,30
661,COMPUSDT,IOTAUSDT,0.0294,-3.5348,-3.367,411.026,30
2297,PEOPLEUSDT,BNXUSDT,0.0075,-3.985,-3.367,0.1207,30
805,ENJUSDT,1000BTTUSDT,0.019,-3.6873,-3.367,1574.5474,30
88,1000BTTUSDT,ILVUSDT,0.0184,-3.698,-3.367,0.0,30
933,HBARUSDT,ADAUSDT,0.0073,-3.9948,-3.367,0.2002,30
109,1000FLOKIUSDT,ONEUSDT,0.0175,-3.7149,-3.367,0.1379,30
2412,STORJUSDT,HFTUSDT,0.0222,-3.6346,-3.367,2.9306,30
2388,SOLUSDT,KSMUSDT,0.0129,-3.8166,-3.367,0.5571,30
2294,PEOPLEUSDT,10000NFTUSDT,0.0083,-3.9558,-3.367,4.0143,29
1581,LPTUSDT,IOTXUSDT,0.0093,-3.9209,-3.367,288.0653,29
2499,YGGUSDT,MASKUSDT,0.0309,-3.5168,-3.367,0.5551,29
1131,JOEUSDT,CVCUSDT,0.0,-13.3465,-3.367,1.3663,29
715,DARUSDT,1000BONKUSDT,0.0441,-3.3846,-3.367,500.6705,29
602,BSWUSDT,ENSUSDT,0.0115,-3.8523,-3.367,0.0205,29
1166,JOEUSDT,HIGHUSDT,0.0,-13.9612,-3.367,0.2002,29
316,ANTUSDT,SUSHIUSDT,0.0,-5.5393,-3.367,1.1549,29
1124,JOEUSDT,COMPUSDT,0.0,-13.3185,-3.367,0.0013,29
239,ALICEUSDT,CHZUSDT,0.0067,-4.0208,-3.367,35.6844,29
1468,LEVERUSDT,NKNUSDT,0.0138,-3.794,-3.367,0.0131,29
1116,JOEUSDT,C98USDT,0.0,-13.3773,-3.367,0.169,29
891,FLOWUSDT,VETUSDT,0.0093,-3.92,-3.367,94.1229,29
93,1000FLOKIUSDT,BLZUSDT,0.0009,-4.5854,-3.367,0.3434,29
263,ANKRUSDT,1000BONKUSDT,0.0422,-3.4012,-3.367,111.8563,29
788,DYDXUSDT,TRUUSDT,0.0,-5.3586,-3.367,198.5665,29
296,ANTUSDT,GRTUSDT,0.0008,-4.6271,-3.367,12.4799,29
968,HIGHUSDT,1000BONKUSDT,0.0421,-3.402,-3.367,2681.4625,29
1860,MINAUSDT,ETHWUSDT,0.0001,-5.1391,-3.367,0.215,29
1248,JOEUSDT,TWTUSDT,0.0,-13.4105,-3.367,0.2613,29
412,BELUSDT,BLZUSDT,0.0132,-3.8075,-3.367,7.2928,28
413,BELUSDT,BSVUSDT,0.041,-3.4124,-3.367,0.0073,28
2424,STORJUSDT,TUSDT,0.0035,-4.2135,-3.367,48.6116,28
657,COMBOUSDT,IDEXUSDT,0.0392,-3.4292,-3.367,12.4946,28
427,BLURUSDT,HIGHUSDT,0.0088,-3.9391,-3.367,0.261,28
174,ADAUSDT,SSVUSDT,0.0108,-3.874,-3.367,0.0543,28
870,FLOWUSDT,CELRUSDT,0.0349,-3.4728,-3.367,106.8164,28
26,10000LADYSUSDT,COTIUSDT,0.0221,-3.6359,-3.367,0.0014,28
1171,JOEUSDT,ICXUSDT,0.0,-13.5738,-3.367,1.0152,28
1200,JOEUSDT,MANAUSDT,0.0,-13.1596,-3.367,0.1372,28
941,HBARUSDT,HFTUSDT,0.0097,-3.9085,-3.367,0.5977,28
2295,PEOPLEUSDT,1000BONKUSDT,0.042,-3.403,-3.367,76.4239,28
1190,JOEUSDT,LINAUSDT,0.0,-13.1665,-3.367,35.8096,28
799,EGLDUSDT,IDUSDT,0.0202,-3.6677,-3.367,557.3507,28
235,ALGOUSDT,KLAYUSDT,0.0354,-3.4673,-3.367,1.4008,28
862,FETUSDT,ICPUSDT,0.0072,-4.0004,-3.367,0.0086,28
865,FILUSDT,AXSUSDT,0.0383,-3.4378,-3.367,0.6141,28
1577,LPTUSDT,FLOWUSDT,0.0055,-4.0806,-3.367,3.5586,28
140,1INCHUSDT,LPTUSDT,0.0094,-3.9158,-3.367,0.0562,28
748,DODOUSDT,AGLDUSDT,0.0151,-3.764,-3.367,0.3473,28
1207,JOEUSDT,MTLUSDT,0.0,-13.5145,-3.367,0.2694,28
673,CROUSDT,CTKUSDT,0.0046,-4.132,-3.367,0.3457,28
1964,OMGUSDT,ZRXUSDT,0.0,-5.2762,-3.367,17.5765,28
2463,TWTUSDT,HFTUSDT,0.0152,-3.7631,-3.367,3.2376,28
376,BALUSDT,ETHWUSDT,0.0109,-3.8703,-3.367,1.5544,28
1272,KDAUSDT,LRCUSDT,0.0066,-4.0236,-3.367,2.1541,27
1084,JOEUSDT,ADAUSDT,0.0,-13.4521,-3.367,0.2869,27
1711,MAGICUSDT,GMTUSDT,0.0,-6.5323,-3.367,1.3676,27
225,AKROUSDT,RPLUSDT,0.0342,-3.4801,-3.367,0.0001,27
889,FLOWUSDT,TUSDT,0.0002,-4.9743,-3.367,296.0916,27
757,DOGEUSDT,SXPUSDT,0.0348,-3.4732,-3.367,0.0534,27
1890,MTLUSDT,HIGHUSDT,0.0135,-3.8007,-3.367,0.7247,27
1840,MASKUSDT,TRUUSDT,0.0048,-4.1186,-3.367,121.6591,27
1889,MTLUSDT,HFTUSDT,0.0277,-3.5561,-3.367,3.1034,27
912,GLMRUSDT,IMXUSDT,0.0039,-4.1833,-3.367,0.5043,27
693,CTKUSDT,RLCUSDT,0.0083,-3.956,-3.367,0.9155,27
689,CRVUSDT,SOLUSDT,0.0326,-3.4974,-3.367,0.0234,27
2303,PEOPLEUSDT,ROSEUSDT,0.0,-5.5965,-3.367,0.251,27
892,FLOWUSDT,ZRXUSDT,0.0017,-4.4203,-3.367,17.7868,27
1081,JOEUSDT,1INCHUSDT,0.0,-13.7309,-3.367,0.2289,27
1942,NKNUSDT,ONTUSDT,0.02,-3.6711,-3.367,0.4495,27
2417,STORJUSDT,IOTXUSDT,0.0298,-3.5305,-3.367,13.0469,27
1128,JOEUSDT,CRVUSDT,0.0,-12.5966,-3.367,0.1044,27
2312,QTUMUSDT,1000BONKUSDT,0.0438,-3.3869,-3.367,10357.9864,27
794,EGLDUSDT,CELRUSDT,0.039,-3.4314,-3.367,2825.8879,27
1061,IOTXUSDT,RLCUSDT,0.0365,-3.4561,-3.367,0.0722,27
1057,IOTXUSDT,IMXUSDT,0.0062,-4.0453,-3.367,0.0301,27
269,ANKRUSDT,COTIUSDT,0.0318,-3.5068,-3.367,0.3171,27
631,CELRUSDT,EDUUSDT,0.0009,-4.585,-3.367,0.1081,27
1773,MAGICUSDT,RNDRUSDT,0.0,-5.8007,-3.367,0.5476,27
1959,OMGUSDT,EDUUSDT,0.0459,-3.3692,-3.367,11.5858,27
1069,IOTXUSDT,YGGUSDT,0.0374,-3.4464,-3.367,0.0265,27
1462,LEVERUSDT,MDTUSDT,0.0338,-3.4849,-3.367,0.027,27
743,DGBUSDT,ETHWUSDT,0.0,-5.6534,-3.367,0.0029,27
1323,LDOUSDT,CHZUSDT,0.004,-4.1756,-3.367,5.4917,27
1163,JOEUSDT,GRTUSDT,0.0,-14.041,-3.367,0.9189,27
716,DARUSDT,AGLDUSDT,0.0006,-4.6676,-3.367,0.7367,27
972,HIGHUSDT,HOOKUSDT,0.01,-3.8976,-3.367,1.1793,27
280,ANKRUSDT,UNIUSDT,0.0242,-3.604,-3.367,0.0072,27
354,ARUSDT,RNDRUSDT,0.014,-3.7895,-3.367,10.7586,27
622,C98USDT,TWTUSDT,0.0193,-3.6818,-3.367,1.5022,27
110,1000FLOKIUSDT,RLCUSDT,0.002,-4.364,-3.367,0.0218,27
629,CELRUSDT,CTSIUSDT,0.0334,-3.489,-3.367,0.3297,27
2384,SNXUSDT,AUDIOUSDT,0.0018,-4.3902,-3.367,4.3121,27
1599,LPTUSDT,UNIUSDT,0.0,-5.2775,-3.367,2.595,27
103,1000FLOKIUSDT,HOOKUSDT,0.0001,-5.1894,-3.367,0.018,27
832,ENSUSDT,MASKUSDT,0.0161,-3.7443,-3.367,4.3704,27
2369,SFPUSDT,SLPUSDT,0.0265,-3.5724,-3.367,38.3055,27
839,ENSUSDT,VETUSDT,0.0236,-3.6137,-3.367,335.0021,27
1604,LQTYUSDT,LRCUSDT,0.0124,-3.8288,-3.367,0.9108,27
176,ADAUSDT,TUSDT,0.0449,-3.3775,-3.367,48.6095,27
1617,LRCUSDT,ZRXUSDT,0.0033,-4.2279,-3.367,3.2478,27
934,HBARUSDT,AGIXUSDT,0.0322,-3.5018,-3.367,0.8345,27
2493,XVGUSDT,LINAUSDT,0.0055,-4.0779,-3.367,0.3712,27
992,ICPUSDT,HIGHUSDT,0.0235,-3.6148,-3.367,17.6166,27
866,FILUSDT,MATICUSDT,0.0347,-3.4746,-3.367,33.4036,27
2336,RENUSDT,ZRXUSDT,0.0158,-3.7489,-3.367,1.1627,27
493,BLZUSDT,EOSUSDT,0.0168,-3.7296,-3.367,0.0199,27
802,EGLDUSDT,TRUUSDT,0.0157,-3.7523,-3.367,4075.3515,26
868,FLOWUSDT,1000LUNCUSDT,0.0129,-3.8156,-3.367,40.2298,26
166,ADAUSDT,FETUSDT,0.0187,-3.693,-3.367,4.3736,26
855,ETHWUSDT,HBARUSDT,0.0308,-3.5179,-3.367,17.9726,26
803,EGLDUSDT,TUSDT,0.015,-3.7663,-3.367,7900.8467,26
1556,LOOKSUSDT,ROSEUSDT,0.0008,-4.6174,-3.367,7.2859,26
389,BATUSDT,HFTUSDT,0.0289,-3.5408,-3.367,1.9383,26
806,ENJUSDT,CELRUSDT,0.046,-3.3681,-3.367,27.755,26
808,ENJUSDT,DUSKUSDT,0.0319,-3.5061,-3.367,4.6731,26
1262,JOEUSDT,ZECUSDT,0.0,-12.8949,-3.367,0.0027,26
162,ADAUSDT,CEEKUSDT,0.0049,-4.117,-3.367,8.946,26
87,1000BTTUSDT,FLRUSDT,0.0411,-3.4113,-3.367,0.0606,26
954,HBARUSDT,TUSDT,0.0185,-3.6967,-3.367,9.8627,26
886,FLOWUSDT,SSVUSDT,0.0158,-3.7491,-3.367,0.3299,26
147,ACHUSDT,AGLDUSDT,0.0382,-3.4394,-3.367,0.0359,26
1014,IDUSDT,ILVUSDT,0.0002,-4.9476,-3.367,0.0004,26
107,1000FLOKIUSDT,LPTUSDT,0.0378,-3.4432,-3.367,0.001,26
104,1000FLOKIUSDT,ICPUSDT,0.0028,-4.2714,-3.367,0.0008,26
1965,ONEUSDT,COMPUSDT,0.0311,-3.5154,-3.367,0.0007,26
1822,MANAUSDT,CROUSDT,0.0238,-3.6107,-3.367,6.1305,26
1967,ONEUSDT,THETAUSDT,0.0259,-3.58,-3.367,0.0373,26
1956,OCEANUSDT,1000BTTUSDT,0.0375,-3.4461,-3.367,250.0878,26
397,BATUSDT,SSVUSDT,0.0151,-3.7635,-3.367,0.0356,26
844,EOSUSDT,ETCUSDT,0.0342,-3.4802,-3.367,0.0831,26
888,FLOWUSDT,TRUUSDT,0.0179,-3.7087,-3.367,155.0131,26
142,1INCHUSDT,RNDRUSDT,0.0453,-3.3743,-3.367,0.5734,26
1815,MANAUSDT,1000FLOKIUSDT,0.0048,-4.1191,-3.367,91.3105,26
646,CFXUSDT,ALICEUSDT,0.0304,-3.5228,-3.367,0.0224,26
843,EOSUSDT,DOGEUSDT,0.0366,-3.455,-3.367,54.2342,26
812,ENJUSDT,HNTUSDT,0.0433,-3.3917,-3.367,0.1203,26
2447,TLMUSDT,OCEANUSDT,0.026,-3.5797,-3.367,0.5316,26
778,DYDXUSDT,ENSUSDT,0.0021,-4.3516,-3.367,0.3471,26
1269,KDAUSDT,API3USDT,0.0383,-3.4375,-3.367,1.0062,26
1321,KSMUSDT,AGIXUSDT,0.0089,-3.9339,-3.367,810.3715,26
1021,IDUSDT,TLMUSDT,0.0001,-5.1363,-3.367,2.0551,26
585,BNXUSDT,HOOKUSDT,0.007,-4.0081,-3.367,0.2726,26
228,AKROUSDT,TRXUSDT,0.012,-3.8382,-3.367,0.0461,26
2296,PEOPLEUSDT,BLURUSDT,0.0218,-3.6414,-3.367,0.1053,26
2490,XLMUSDT,ONTUSDT,0.0364,-3.4566,-3.367,1.3321,26
653,CHZUSDT,ILVUSDT,0.0065,-4.0309,-3.367,0.0003,26
1573,LPTUSDT,COREUSDT,0.0152,-3.7623,-3.367,17.8513,26
2327,RENUSDT,API3USDT,0.0035,-4.2104,-3.367,0.1632,26
883,FLOWUSDT,OMGUSDT,0.0107,-3.8756,-3.367,0.989,26
655,CHZUSDT,SOLUSDT,0.0259,-3.5798,-3.367,0.002,26
1041,IOTAUSDT,HIGHUSDT,0.0127,-3.8201,-3.367,0.3558,26
640,CELRUSDT,SUIUSDT,0.0044,-4.1435,-3.367,0.1086,26
1361,LEVERUSDT,AVAXUSDT,0.0145,-3.7772,-3.367,0.0,26
543,BLZUSDT,MTLUSDT,0.0017,-4.4203,-3.367,0.0582,26
1909,MTLUSDT,TWTUSDT,0.0014,-4.4568,-3.367,0.9515,26
1606,LQTYUSDT,RENUSDT,0.0089,-3.9355,-3.367,2.6005,26
89,1000BTTUSDT,SOLUSDT,0.0208,-3.6567,-3.367,0.0,26
373,BAKEUSDT,CVXUSDT,0.0096,-3.9092,-3.367,0.0421,26
351,ARUSDT,COMPUSDT,0.0366,-3.4547,-3.367,0.1075,26
71,10000LADYSUSDT,STORJUSDT,0.0413,-3.4097,-3.367,0.0003,26
245,ALICEUSDT,OCEANUSDT,0.0061,-4.0495,-3.367,31.3669,26
2,10000LADYSUSDT,1000LUNCUSDT,0.0004,-4.7806,-3.367,0.0018,26
205,AGLDUSDT,SLPUSDT,0.042,-3.4032,-3.367,17.2259,26
248,ALPHAUSDT,BALUSDT,0.0,-6.225,-3.367,0.025,26
175,ADAUSDT,TRUUSDT,0.0241,-3.6061,-3.367,25.369,26
189,AGIXUSDT,ILVUSDT,0.0419,-3.404,-3.367,0.0004,26
144,1INCHUSDT,XEMUSDT,0.0168,-3.7292,-3.367,15.9706,25
765,DUSKUSDT,GRTUSDT,0.0041,-4.1696,-3.367,1.0133,25
345,ARBUSDT,XEMUSDT,0.0346,-3.4763,-3.367,10.5016,25
1865,MKRUSDT,RLCUSDT,0.0254,-3.5867,-3.367,1034.9369,25
964,HFTUSDT,SSVUSDT,0.0001,-5.0982,-3.367,0.0182,25
1867,MTLUSDT,1INCHUSDT,0.0209,-3.6551,-3.367,0.8227,25
1900,MTLUSDT,RLCUSDT,0.0162,-3.7419,-3.367,1.0305,25
1898,MTLUSDT,QTUMUSDT,0.007,-4.0089,-3.367,0.186,25
1861,MKRUSDT,BANDUSDT,0.0339,-3.4833,-3.367,522.7506,25
966,HFTUSDT,UNIUSDT,0.0151,-3.7639,-3.367,0.0393,25
2370,SFPUSDT,TRUUSDT,0.0079,-3.9709,-3.367,19.7727,25
1591,LPTUSDT,RLCUSDT,0.0226,-3.6281,-3.367,21.3373,25
336,ARBUSDT,CROUSDT,0.0229,-3.6234,-3.367,2.4617,25
644,CELRUSDT,ZRXUSDT,0.0128,-3.8198,-3.367,0.163,25
371,AUDIOUSDT,LQTYUSDT,0.0446,-3.3805,-3.367,0.8096,25
111,1000FLOKIUSDT,ROSEUSDT,0.0024,-4.3133,-3.367,0.1297,25
1834,MANAUSDT,YFIUSDT,0.0166,-3.7337,-3.367,0.0001,25
772,DUSKUSDT,SUSHIUSDT,0.0221,-3.6365,-3.367,0.0958,25
668,COTIUSDT,LPTUSDT,0.0151,-3.7646,-3.367,0.0084,25
2372,SFPUSDT,ZRXUSDT,0.0358,-3.4633,-3.367,2.2717,25
1842,MASKUSDT,ZRXUSDT,0.0066,-4.0234,-3.367,14.1185,25
2014,PAXGUSDT,ARPAUSDT,0.0,-14.1631,-3.367,50160.9975,25
2253,PENDLEUSDT,LINAUSDT,0.004,-4.1722,-3.367,76.3843,25
705,CTSIUSDT,LITUSDT,0.0219,-3.6385,-3.367,0.1119,25
1514,LEVERUSDT,XMRUSDT,0.0145,-3.777,-3.367,0.0,25
1724,MAGICUSDT,IDUSDT,0.0,-5.8701,-3.367,4.3844,25
353,ARUSDT,RDNTUSDT,0.0192,-3.6843,-3.367,110.6083,25
682,CRVUSDT,DENTUSDT,0.0355,-3.4661,-3.367,1608.5635,25
2421,STORJUSDT,SFPUSDT,0.0362,-3.4595,-3.367,1.2425,25
2335,RENUSDT,VETUSDT,0.0361,-3.4602,-3.367,6.1185,25
172,ADAUSDT,RDNTUSDT,0.0408,-3.4141,-3.367,4.7497,25
1032,IMXUSDT,LQTYUSDT,0.0166,-3.7328,-3.367,2.2447,25
2342,RLCUSDT,FETUSDT,0.0002,-4.9781,-3.367,4.4276,25
612,C98USDT,CELRUSDT,0.0068,-4.0171,-3.367,29.7344,25
455,BLZUSDT,ARBUSDT,0.0015,-4.4493,-3.367,0.0753,25
2323,QTUMUSDT,ZENUSDT,0.0036,-4.2017,-3.367,0.1542,25
195,AGIXUSDT,SOLUSDT,0.003,-4.251,-3.367,0.0021,25
923,GMXUSDT,LINKUSDT,0.0004,-4.7701,-3.367,2.5101,25
2435,SXPUSDT,CTKUSDT,0.0126,-3.8235,-3.367,1.0823,25
265,ANKRUSDT,1INCHUSDT,0.031,-3.5163,-3.367,0.0479,25
411,BELUSDT,BLURUSDT,0.0258,-3.5815,-3.367,1.1967,25
12,10000LADYSUSDT,ARPAUSDT,0.0041,-4.1654,-3.367,0.0095,25
1058,IOTXUSDT,LITUSDT,0.0001,-5.0534,-3.367,0.0506,25
1119,JOEUSDT,CELRUSDT,0.0,-13.1533,-3.367,4.9817,25
876,FLOWUSDT,HBARUSDT,0.0306,-3.5208,-3.367,29.9024,25
470,BLZUSDT,CFXUSDT,0.0011,-4.5193,-3.367,0.323,25
1055,IOTXUSDT,HFTUSDT,0.0014,-4.468,-3.367,0.2195,25
2471,TWTUSDT,SWEATUSDT,0.0373,-3.4483,-3.367,127.3714,25
2348,RLCUSDT,TUSDT,0.0297,-3.5311,-3.367,49.2017,25
63,10000LADYSUSDT,PHBUSDT,0.0358,-3.4629,-3.367,0.0006,25
86,1000BTTUSDT,BANDUSDT,0.0139,-3.7923,-3.367,0.0005,25
691,CTKUSDT,GRTUSDT,0.0147,-3.7733,-3.367,2.9219,24
